Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
HeapMatrix::innerProductRow,0.605998,0.605998,0.0,0.0,libedbdmath.so,"HeapMatrix::innerProductRow(unsigned int, HeapMatrix const&) const",heap_matrix.cpp,0x2f60
ProjectedGaussSeidel,0.256022,0.256022,0.0,0.0,libedbdmath.so,"ProjectedGaussSeidel(HeapMatrix const&, HeapMatrix const&, HeapMatrix const&, HeapMatrix&)",heap_matrix.cpp,0x3ae0
HeapMatrix::index,0.140004,0.140004,0.0,0.0,libedbdmath.so,"HeapMatrix::index(unsigned int, unsigned int) const",heap_matrix.hpp,0x2ef0
HeapMatrix::operator(),0.128025,0.128025,0.0,0.0,libedbdmath.so,"HeapMatrix::operator()(unsigned int, unsigned int) const",heap_matrix.cpp,0x2ef0
fzx::constraints::iterative_solver::contractJmaKaJna,0.115954,0.115954,0.0,0.0,libconstraints.so,"fzx::constraints::iterative_solver::contractJmaKaJna(int, int, int, HeapMatrix const&, HeapMatrix const&)",iterative_constraint_solver.cpp,0xa230
HeapMatrix::operator*,0.095977,0.095977,0.0,0.0,libedbdmath.so,HeapMatrix::operator*(HeapMatrix const&) const,heap_matrix.cpp,0x3240
"std::find<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int>",0.084007,0.084007,0.0,0.0,liballocator.so,"std::find<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int>(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int const&)",stl_algo.h,0x13fd7
operator new,0.067983,0.067983,0.0,0.0,libstdc++.so.6,operator new(unsigned long),[Unknown],0xa6040
fzx::constraints::collision::broadPhase,0.063962,0.063962,0.0,0.0,libconstraint_collision.so,"fzx::constraints::collision::broadPhase(trecs::Allocator&, std::vector<fzx::types::collisionCandidate_s, std::allocator<fzx::types::collisionCandidate_s>>&)",broadphase.cpp,0x2530
HeapMatrix::Initialize,0.059999,0.059999,0.0,0.0,libedbdmath.so,HeapMatrix::Initialize(void),heap_matrix.cpp,0x2e90
Vector3::operator-,0.059997,0.059997,0.0,0.0,libedbdgeometry.so,Vector3::operator-(Vector3 const&) const,vector3.hpp,0x24b40
geometry::supportMapping,0.055999,0.055999,0.0,0.0,libedbdgeometry.so,"geometry::supportMapping(Vector3 const&, geometry::types::convexPolyhedron_s const&)",support_functions.cpp,0x24a70
geometry::triangle::voronoiRegionToPoint,0.044006,0.044006,0.0,0.0,libedbdgeometry.so,"geometry::triangle::voronoiRegionToPoint(Vector3 const&, Vector3 const&, Vector3 const&, Vector3 const&)",triangle.cpp,0x26630
Vector3::dot,0.043997,0.043997,0.0,0.0,libedbdgeometry.so,Vector3::dot(Vector3 const&) const,vector3.hpp,0x24b5c
fzx::constraints::collision::narrowPhase,0.036004,0.036004,0.0,0.0,libconstraint_collision.so,"fzx::constraints::collision::narrowPhase(trecs::Allocator&, std::vector<fzx::types::collisionCandidate_s, std::allocator<fzx::types::collisionCandidate_s>> const&)",narrowphase.cpp,0x7970
geometry::gjk::minNormPointAndMinSimplex,0.031999,0.031999,0.0,0.0,libedbdgeometry.so,"geometry::gjk::minNormPointAndMinSimplex(geometry::types::minkowskiDiffSimplex_s const&, Vector3 const&)",gjk.cpp,0x8ea0
Vector3::Initialize,0.031996,0.031996,0.0,0.0,libedbdgeometry.so,"Vector3::Initialize(float, float, float)",vector3.hpp,0x1ef08
HeapMatrix::index,0.028004,0.028004,0.0,0.0,libedbdmath.so,"HeapMatrix::index(unsigned int, unsigned int) const",heap_matrix.hpp,0x2f00
